                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55563,                0.47947,                0.93114,                 0.9672,                 0.9103,                0.95677,                0.86461,                0.49297,                0.40839,                0.82337,               0.006535,               0.006535,               0.006535
                     37,                0.54109,                0.45846,                0.92418,                0.94845,                0.93547,                0.96418,                0.87601,                0.47529,                0.39621,                0.80815,               0.006436,               0.006436,               0.006436
                     38,                0.53736,                0.45374,                0.92668,                0.96542,                0.91002,                0.96794,                 0.8818,                0.46531,                0.38732,                0.80298,               0.006337,               0.006337,               0.006337
                     39,                0.52516,                0.45531,                0.91602,                 0.9799,                0.92251,                0.96715,                0.88092,                0.45927,                0.37751,                0.80264,               0.006238,               0.006238,               0.006238
                     40,                 0.5265,                0.44589,                0.92146,                0.96846,                0.92395,                0.96301,                0.87992,                0.43978,                0.37399,                0.80373,               0.006139,               0.006139,               0.006139
                     41,                0.55028,                0.46414,                0.92443,                0.98167,                0.91136,                0.96054,                0.87632,                0.44895,                0.37818,                0.81191,                0.00604,                0.00604,                0.00604
                     42,                0.52177,                0.44057,                0.91826,                0.97275,                0.91474,                0.96477,                0.88134,                0.44555,                0.38187,                0.80363,               0.005941,               0.005941,               0.005941
                     43,                0.52722,                0.44262,                0.92109,                0.96186,                0.93644,                0.96475,                0.87397,                0.48009,                0.38155,                0.81066,               0.005842,               0.005842,               0.005842
                     44,                0.51487,                0.43024,                0.91832,                0.97042,                0.91215,                0.96318,                0.87632,                0.45249,                0.36618,                0.80481,               0.005743,               0.005743,               0.005743
                     45,                0.49954,                0.42122,                0.90978,                0.94106,                0.94687,                0.96539,                0.88599,                0.45199,                0.35819,                0.79837,               0.005644,               0.005644,               0.005644
                     46,                0.49927,                 0.4299,                0.90495,                0.96806,                0.91937,                0.96491,                0.88884,                0.43167,                0.36625,                0.78843,               0.005545,               0.005545,               0.005545
                     47,                 0.5085,                0.42122,                0.90732,                0.95899,                0.92694,                 0.9652,                0.88138,                 0.4409,                0.37239,                0.79839,               0.005446,               0.005446,               0.005446
